AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
6/28/15,17,12,7,11,8,4,93,72,38,1033,1031,1030,31,12,10,14,13,,0,1,,293
6/29/15,18,13,8,10,8,7,93,71,44,1033,1031,1029,31,12,10,14,11,,0,3,,336
6/30/15,20,14,9,12,9,7,94,73,30,1030,1027,1024,26,12,9,16,11,,0,4,Fog,329
7/1/15,17,13,9,10,7,0,94,65,22,1026,1024,1022,26,13,10,29,14,39,0.25,3,Rain,240
7/2/15,17,11,6,3,2,-1,76,51,25,1024,1020,1016,31,16,10,60,27,69,0,2,,266
7/3/15,14,10,6,6,3,-2,76,55,33,1027,1025,1023,31,17,10,27,21,47,0,1,,245
7/4/15,16,11,5,4,2,-4,87,57,15,1025,1022,1019,31,23,10,23,14,,0,2,,287
7/5/15,18,12,5,5,2,-2,76,50,15,1022,1020,1017,31,28,26,21,14,,0,,,320
7/6/15,17,11,6,5,1,-1,81,49,19,1018,1015,1013,31,25,19,29,18,45,0,,,289
7/7/15,14,10,7,10,6,1,94,70,43,1025,1020,1016,31,13,6,35,21,47,2.03,5,Rain,239
7/8/15,14,11,8,10,8,6,94,79,57,1030,1028,1025,31,12,5,29,18,32,0.25,4,Rain,236
7/9/15,17,11,6,9,6,4,93,69,33,1031,1028,1026,31,12,10,16,11,,0,1,,338
7/10/15,16,11,7,10,8,5,94,76,54,1026,1021,1017,26,13,10,21,11,,0,5,Rain,315
7/11/15,20,13,6,10,8,5,100,74,31,1017,1012,1004,31,11,4,48,13,64,5.08,2,Fog-Rain-Thunderstorm,324
7/12/15,15,11,8,8,2,-4,95,57,18,1007,1003,1001,31,11,6,45,27,58,0,5,Rain-Thunderstorm,312
7/13/15,18,13,8,8,3,0,93,54,28,1010,1003,999,31,13,9,47,29,71,0.51,4,Rain,294
7/14/15,17,13,9,4,1,-2,62,42,18,1016,1011,1008,31,17,10,35,23,,0,2,,284
7/15/15,16,11,6,7,2,-1,76,52,25,1018,1017,1015,31,16,10,16,13,,0,3,,295
7/16/15,13,11,8,9,7,4,95,79,60,1018,1015,1013,31,11,6,29,13,,9.91,5,Rain-Thunderstorm,271
7/17/15,14,10,6,7,4,1,93,68,40,1020,1013,1009,31,12,5,48,29,66,7.87,5,Rain,258
7/18/15,13,10,7,9,5,1,88,67,42,1031,1025,1019,31,12,6,45,29,58,0.51,4,Rain,232
7/19/15,14,11,7,10,8,5,93,79,56,1033,1031,1030,31,12,10,27,16,,0.25,2,,229
7/20/15,16,12,8,11,9,6,94,80,59,1035,1033,1032,31,12,9,21,11,,0.51,5,Rain,256
7/21/15,20,14,8,11,8,6,100,69,31,1033,1031,1027,31,12,10,29,14,,0,1,,355
7/22/15,18,14,9,9,8,7,88,66,35,1028,1026,1024,31,26,14,27,11,,0,8,,344
7/23/15,16,13,11,13,11,9,94,83,67,1026,1024,1022,31,12,8,19,10,,0.51,6,Rain,263
7/24/15,21,16,11,13,11,7,94,71,32,1022,1017,1014,31,13,6,23,11,,0,6,Fog-Rain,341
7/25/15,21,16,10,9,3,0,77,41,15,1018,1016,1013,31,29,26,23,16,,0,,,326
7/26/15,21,16,11,5,2,-2,67,40,14,1021,1016,1011,31,18,10,42,23,61,0,4,,311
7/27/15,15,11,8,1,-2,-5,62,37,16,1029,1024,1020,31,25,10,39,27,48,0,1,,272
7/28/15,16,11,7,7,3,0,71,54,26,1033,1031,1029,10,10,10,34,23,,0,1,,244
7/29/15,16,12,7,8,6,4,82,63,38,1035,1032,1029,31,13,10,19,13,,0,3,,351
7/30/15,21,14,8,8,4,-1,87,51,15,1029,1023,1018,31,18,10,26,14,,0,6,,330
7/31/15,21,16,11,8,4,1,63,43,17,1022,1020,1018,31,19,10,24,13,,0,3,,321
8/1/15,23,15,7,7,3,-2,87,44,11,1021,1017,1015,31,29,19,45,16,58,0,,,330
8/2/15,25,18,11,11,6,2,82,48,15,1016,1013,1009,31,31,31,39,14,50,0,,,284
8/3/15,19,14,9,8,0,-2,67,37,17,1022,1015,1013,31,19,10,42,23,53,0,1,,266
8/4/15,15,11,8,3,0,-3,62,44,24,1023,1020,1017,26,13,10,24,16,,0,5,Rain,283
8/5/15,16,11,6,2,-1,-4,58,41,21,1017,1013,1010,31,29,26,34,19,48,0,,,297
8/6/15,16,11,7,5,1,-2,66,47,19,1022,1016,1013,31,31,31,29,23,,0,,,249
8/7/15,17,11,6,9,3,1,76,53,28,1024,1022,1021,31,31,31,24,16,35,0,,,260
8/8/15,15,11,7,8,5,2,76,62,41,1025,1023,1022,31,14,10,29,16,,0,4,,242
8/9/15,17,11,6,10,6,3,87,64,38,1025,1021,1018,31,12,10,19,13,,0,1,,346
8/10/15,21,14,8,9,5,-1,93,53,17,1018,1015,1012,31,17,10,26,14,,0,1,,335
8/11/15,21,15,9,10,3,-2,67,42,14,1014,1012,1010,31,22,10,23,14,,0,1,,302
8/12/15,19,13,7,14,1,-3,100,43,16,1012,1007,1003,31,23,10,60,19,80,0,6,Rain,319
8/13/15,19,13,8,2,1,-4,66,41,13,1022,1014,1008,31,22,10,39,29,58,0,5,,259
8/14/15,18,12,7,8,3,2,77,51,23,1027,1024,1021,31,30,26,29,14,47,0,,,272
8/15/15,16,12,8,12,8,4,77,66,44,1030,1029,1027,31,13,10,26,14,,0,4,,233
8/16/15,21,16,11,13,9,5,88,65,35,1029,1024,1019,31,14,10,27,13,,0,3,,321
8/17/15,21,14,9,5,2,-3,66,41,12,1019,1016,1013,31,29,26,34,18,42,0,,,273
8/18/15,15,12,10,6,3,-2,67,49,29,1025,1020,1016,31,12,10,27,19,,0,2,,200
8/19/15,16,12,9,8,6,3,72,57,36,1027,1025,1024,31,13,10,19,11,,0,3,,356
8/20/15,20,14,8,13,9,6,87,65,36,1028,1026,1024,31,13,10,26,13,,0,1,,3
8/21/15,23,16,9,13,9,7,94,64,26,1026,1023,1020,19,13,9,29,14,,0,1,,357
8/22/15,28,21,15,11,8,5,59,39,14,1021,1018,1015,31,28,19,32,14,,0,,,355
8/23/15,21,18,15,16,13,10,100,75,42,1022,1019,1017,31,11,5,19,10,,4.06,6,Rain,318
8/24/15,17,16,14,16,14,14,100,93,84,1019,1016,1012,26,10,0,39,14,45,23.11,5,Rain-Thunderstorm,207
8/25/15,20,16,12,15,10,8,100,70,37,1014,1012,1011,31,12,4,40,26,60,4.06,5,Rain,296
8/26/15,19,16,13,15,13,12,100,83,63,1021,1017,1012,31,12,3,26,19,,0.25,5,Rain,187
8/27/15,22,17,12,12,9,4,100,63,24,1020,1017,1014,31,13,10,35,14,,0,4,Rain,310
8/28/15,18,14,10,11,7,3,82,56,27,1023,1019,1016,31,13,10,35,19,50,0,3,Rain,241
8/29/15,20,14,9,8,4,0,82,52,17,1023,1020,1017,31,12,10,27,13,,0,1,,261
8/30/15,16,12,7,9,5,0,72,56,36,1021,1019,1017,31,11,10,34,21,,0,3,,226
8/31/15,16,13,9,8,6,3,71,55,34,1018,1016,1013,31,24,10,29,23,,0,5,,222
9/1/15,17,12,8,9,4,2,82,54,25,1016,1014,1013,31,19,10,27,14,,0,1,,230
9/2/15,20,13,7,9,6,3,76,52,27,1018,1014,1008,31,25,10,29,13,,2.03,6,Rain,352
9/3/15,20,16,11,11,8,2,94,61,19,1014,1007,1004,31,12,10,42,19,60,3.05,5,Rain,264
9/4/15,17,14,12,13,11,8,100,73,49,1022,1020,1014,26,10,4,35,29,48,0.25,5,Rain,198
9/5/15,19,15,11,12,10,8,88,69,39,1023,1021,1019,31,13,10,27,14,,2.03,4,Rain,223
9/6/15,17,14,12,13,12,10,90,78,54,1025,1022,1020,26,12,7,23,13,,3.05,6,Rain,253
9/7/15,24,17,9,12,7,-1,100,56,18,1021,1017,1013,31,11,5,40,16,47,0.25,1,Fog,309
9/8/15,20,14,9,7,1,-2,63,38,15,1019,1017,1015,10,10,10,35,24,52,0,1,,268
9/9/15,17,13,10,10,6,3,68,53,32,1026,1022,1019,31,13,10,32,21,,0,1,,218
9/10/15,18,14,11,11,8,6,82,58,34,1032,1029,1026,31,13,10,32,16,,0,4,,188
9/11/15,23,18,14,10,8,6,72,51,28,1032,1029,1027,31,16,10,34,14,,0,5,,348
9/12/15,25,18,11,14,10,6,88,61,23,1028,1026,1024,31,27,19,24,10,,0,,,340
9/13/15,23,18,12,16,12,8,88,65,29,1028,1026,1024,31,23,10,27,14,,0,1,,12
9/14/15,24,19,14,15,13,11,88,64,40,1026,1023,1019,31,29,26,39,14,,0,,,18
9/15/15,31,22,14,13,7,2,94,41,9,1019,1013,1008,31,28,19,50,19,64,0,,,306
9/16/15,19,16,12,12,8,4,68,55,32,1018,1016,1015,31,13,10,27,18,,0,2,,174
9/17/15,18,15,12,14,11,8,94,70,51,1023,1019,1016,31,12,9,37,16,53,1.02,3,Rain-Thunderstorm,188
9/18/15,18,16,13,12,10,8,95,67,44,1027,1025,1023,31,12,5,42,29,50,9.91,4,Rain,181
9/19/15,19,16,12,13,11,7,100,72,41,1027,1025,1024,31,11,5,29,16,,0,6,Rain,143
9/20/15,18,14,12,14,11,8,94,73,48,1025,1023,1021,31,12,5,21,11,,0.51,4,Rain,83
9/21/15,23,18,12,14,12,8,94,68,34,1021,1017,1014,31,12,8,29,13,26,0.25,2,Fog-Rain,342
9/22/15,18,16,13,12,8,4,77,56,29,1023,1018,1013,31,13,10,48,26,66,0,4,Rain,215
9/23/15,14,12,11,9,6,2,88,63,45,1027,1025,1023,27,11,5,58,42,76,3.05,4,Rain,213
9/24/15,14,11,9,12,8,2,100,76,51,1027,1025,1024,31,9,3,63,39,82,13.97,5,Rain,209
9/25/15,16,13,10,12,9,7,94,73,46,1030,1028,1026,26,10,5,47,37,66,0.51,6,Rain,187
9/26/15,18,16,12,12,9,4,94,66,29,1028,1026,1024,31,12,6,29,24,50,2.03,5,Rain,167
9/27/15,17,14,12,12,9,8,94,69,47,1025,1022,1020,31,12,5,42,26,52,0,5,Rain,210
9/28/15,20,16,11,10,8,5,77,58,29,1021,1019,1017,31,16,10,21,14,,0,2,,178
9/29/15,25,18,11,12,9,4,82,52,18,1020,1017,1015,31,19,10,32,13,,0,2,,343
9/30/15,20,18,17,16,12,9,88,67,47,1025,1021,1018,31,12,10,32,21,,0,5,Rain,145
10/1/15,24,20,16,18,14,13,100,69,44,1028,1025,1022,26,12,10,32,14,,0,4,,49
10/2/15,23,20,17,17,13,10,94,66,34,1034,1032,1028,31,13,10,35,18,,0,3,,118
10/3/15,30,22,14,16,13,6,88,55,13,1032,1028,1023,31,27,19,27,14,,0,,,345
10/4/15,34,26,17,17,4,-3,83,27,4,1024,1022,1020,31,28,19,29,14,47,0,,,308
10/5/15,37,27,16,17,8,-2,83,41,4,1024,1022,1019,31,24,10,24,11,,0,1,,303
10/6/15,35,28,20,15,9,5,64,30,10,1023,1021,1018,31,31,31,42,14,,0,,,350
10/7/15,24,21,17,17,11,5,83,57,30,1037,1029,1020,31,10,6,58,24,77,0,6,,174
10/8/15,21,18,16,14,9,7,73,53,38,1039,1037,1035,26,12,10,34,23,,0,6,Rain,83
10/9/15,24,21,17,15,12,8,73,55,26,1035,1032,1028,26,13,10,34,18,,0,5,,15
10/10/15,26,21,16,16,14,12,88,68,33,1030,1027,1024,31,15,9,21,11,,0,2,,65
10/11/15,26,20,15,17,15,13,94,72,40,1025,1021,1017,26,13,8,32,11,,2.03,4,Rain-Thunderstorm,351
10/12/15,29,23,17,18,13,9,88,58,23,1019,1015,1011,31,15,10,42,18,61,3.05,3,Rain-Thunderstorm,359
10/13/15,20,19,17,17,16,14,94,81,67,1026,1022,1018,26,11,8,35,26,52,2.03,6,Rain,151
10/14/15,25,21,17,16,15,13,94,68,38,1027,1025,1024,26,12,10,34,14,,0.25,3,Rain,37
10/15/15,26,21,17,18,16,14,88,67,40,1027,1023,1020,26,13,10,45,21,,0,1,,17
10/16/15,31,24,18,17,16,12,88,60,26,1023,1020,1017,31,22,10,37,16,,0,1,,20
10/17/15,24,21,19,19,17,15,88,75,54,1026,1022,1019,26,12,10,29,16,,0.76,2,Rain,146
10/18/15,22,20,19,19,14,12,94,70,47,1030,1028,1026,26,12,9,29,23,,0,6,Rain,133
10/19/15,27,23,19,19,16,13,88,65,40,1028,1024,1021,26,13,9,35,18,,0,5,Rain,35
10/20/15,29,24,19,19,16,15,83,62,34,1021,1018,1015,26,15,10,35,14,,5.08,3,Rain-Thunderstorm,22
10/21/15,29,24,19,18,14,11,88,55,24,1015,1012,1010,26,15,10,32,13,,0.76,6,Rain,341
10/22/15,23,19,16,18,16,13,100,84,43,1018,1012,1010,23,10,2,53,24,72,5.08,6,Rain,195
10/23/15,19,17,14,14,11,9,88,66,41,1024,1021,1018,31,12,10,40,27,47,0,6,Rain,190
10/24/15,24,18,13,13,11,10,82,60,34,1024,1022,1020,31,13,10,35,14,,0,3,,6
10/25/15,25,20,15,17,14,11,83,63,33,1022,1019,1016,31,18,10,39,16,,0,2,,21
10/26/15,26,21,17,19,15,11,94,66,28,1020,1015,1013,31,13,9,64,16,82,3.05,5,Rain-Thunderstorm,297
10/27/15,19,17,16,17,11,5,94,64,38,1027,1024,1020,26,11,8,58,40,71,0.51,6,Rain,173
10/28/15,21,17,13,12,9,6,82,57,31,1026,1024,1021,26,12,10,26,18,,0.25,5,Rain,114
10/29/15,23,18,13,10,8,6,68,49,24,1024,1023,1021,31,14,10,27,13,,0,4,,54
10/30/15,24,19,15,13,11,9,77,53,30,1024,1022,1020,31,14,10,34,14,,0,4,,5
10/31/15,26,21,16,16,14,11,83,63,30,1022,1020,1017,31,13,10,39,21,53,0,6,Rain,23
11/1/15,28,22,17,19,16,14,88,67,32,1018,1012,1008,26,12,6,39,18,,4.06,4,Rain-Thunderstorm,22
11/2/15,32,25,18,20,17,12,94,68,21,1014,1010,1008,31,13,8,34,19,52,0.25,4,Rain-Thunderstorm,309
11/3/15,21,19,17,19,17,16,100,90,78,1019,1016,1014,26,10,5,34,27,,1.02,6,Rain,189
11/4/15,19,18,17,18,17,14,100,92,73,1019,1017,1016,26,7,2,42,21,63,5.08,6,Rain,94
11/5/15,23,19,16,19,17,16,100,86,68,1019,1013,1008,19,8,4,45,26,63,1.02,6,Rain,37
11/6/15,30,24,19,19,17,14,100,75,30,1009,1007,1005,31,11,5,35,18,,4.06,5,Rain-Thunderstorm,332
11/7/15,24,20,17,19,16,11,94,77,53,1019,1013,1008,26,11,6,42,18,53,0,5,,171
11/8/15,20,18,16,15,12,11,83,66,46,1023,1020,1017,26,12,6,42,31,48,0,5,Rain,180
11/9/15,23,18,13,13,11,9,88,60,35,1022,1019,1016,31,14,10,26,14,,0,3,,47
11/10/15,26,21,16,18,13,9,88,60,25,1019,1015,1012,31,21,10,32,13,,0,4,,19
11/11/15,23,21,19,18,17,15,94,79,51,1022,1020,1017,26,11,8,29,21,,0.51,6,Rain,151
11/12/15,26,22,18,18,16,12,88,66,32,1022,1018,1015,26,12,10,40,16,,2.03,6,Rain,16
11/13/15,28,22,17,19,17,13,96,74,32,1015,1012,1009,31,11,5,29,14,,18.03,4,Rain-Thunderstorm,125
11/14/15,20,18,17,17,15,13,94,81,60,1016,1013,1012,31,11,6,34,24,,1.02,6,Rain,165
11/15/15,20,18,15,16,13,11,100,75,52,1020,1017,1015,26,11,5,39,29,,2.03,6,Rain,169
11/16/15,22,18,14,14,11,6,88,58,28,1021,1019,1017,31,14,10,34,19,,0,3,Rain,155
11/17/15,26,20,14,15,12,8,77,53,26,1019,1017,1014,31,22,10,40,16,,0,2,,2
11/18/15,37,27,17,18,12,2,83,48,6,1016,1012,1008,31,22,10,47,18,58,0,1,,288
11/19/15,34,26,18,20,16,13,88,55,20,1015,1012,1010,31,18,10,27,14,,0,1,,355
11/20/15,43,32,21,22,14,-1,94,55,4,1013,1009,1004,26,13,10,48,21,69,0,2,,224
11/21/15,21,19,18,19,13,10,88,63,40,1021,1016,1011,26,12,10,47,32,64,0,6,Rain,158
11/22/15,22,20,18,14,12,10,68,54,36,1021,1017,1014,26,12,10,29,16,,0,5,,54
11/23/15,23,20,17,18,16,13,78,70,46,1016,1012,1010,26,12,10,37,16,,0,3,,192
11/24/15,26,22,18,16,14,13,83,60,36,1017,1015,1012,31,13,10,42,19,55,0,2,,49
11/25/15,32,25,18,18,15,2,83,54,7,1014,1009,1003,31,26,19,48,18,66,0,,,11
11/26/15,39,29,19,19,9,-8,88,37,4,1014,1002,999,31,14,9,60,24,72,0,6,,315
11/27/15,22,19,16,15,13,11,88,62,42,1016,1014,1012,26,11,10,29,19,,0.25,4,Rain,116
11/28/15,24,21,18,16,14,12,73,58,37,1017,1016,1015,31,13,10,35,19,,0,6,,52
11/29/15,27,23,20,19,18,16,88,71,48,1016,1011,1008,26,12,10,40,27,50,0,4,Rain,32
11/30/15,26,22,18,19,17,15,94,70,44,1012,1010,1007,31,13,10,47,23,64,0,3,,108
12/1/15,37,28,20,18,14,2,83,46,5,1011,1008,1004,31,28,23,50,14,64,0,,,11
12/2/15,21,19,18,18,13,6,88,68,34,1025,1016,1008,31,12,10,52,40,66,0,6,,174
12/3/15,22,19,15,12,9,6,68,49,31,1028,1026,1024,31,12,10,24,19,,0,4,Rain,138
12/4/15,23,19,15,13,11,9,72,55,31,1028,1025,1023,31,13,10,26,13,,0,3,,91
12/5/15,26,21,16,15,13,10,82,55,28,1023,1020,1017,31,19,10,35,14,,0,1,,8
12/6/15,27,22,18,17,14,9,83,59,26,1021,1019,1017,31,13,10,34,14,,0,5,,53
12/7/15,26,22,19,17,16,12,88,64,38,1022,1020,1018,31,13,10,27,14,,0,5,,71
12/8/15,26,23,21,20,18,17,83,70,50,1021,1017,1014,31,12,10,35,19,53,0,6,Rain,37
12/9/15,33,26,19,21,19,16,100,64,30,1016,1013,1010,31,12,7,37,19,55,0.76,3,Rain-Thunderstorm,22
12/10/15,26,22,19,19,18,17,94,77,51,1016,1013,1010,26,11,9,42,26,61,0,4,,142
12/11/15,36,28,20,21,10,-12,94,50,4,1010,1005,1001,31,12,9,47,18,61,0,6,Rain,247
12/12/15,22,20,18,15,12,9,73,56,38,1020,1015,1010,26,11,10,32,24,,0,5,,128
12/13/15,25,21,18,16,14,12,69,57,36,1020,1017,1014,26,13,10,42,21,50,0,6,,37
12/14/15,28,23,18,18,16,13,88,62,32,1015,1014,1012,31,23,19,23,13,,0,,,63
12/15/15,27,23,20,21,19,17,94,75,46,1016,1014,1011,31,11,8,39,14,50,0.51,5,Rain-Thunderstorm,51
12/16/15,25,20,16,21,17,13,94,78,50,1018,1015,1013,31,11,1,64,19,87,6.1,5,Rain-Thunderstorm,73
12/17/15,27,21,16,18,16,14,94,65,35,1019,1017,1016,31,13,10,35,13,,0,2,,30
12/18/15,29,24,20,18,16,14,83,57,31,1018,1015,1012,31,31,31,45,21,,0,,,26
12/19/15,33,27,20,19,17,13,83,58,20,1014,1013,1011,31,28,23,45,18,,0,,,30
12/20/15,32,26,19,18,17,14,83,54,29,1014,1010,1006,31,24,14,53,24,72,0,,,29
12/21/15,27,23,19,20,18,15,100,77,40,1024,1015,1008,26,10,3,42,23,58,13.97,6,Rain,159
12/22/15,20,18,17,18,17,14,100,87,66,1023,1022,1020,19,8,2,29,21,,16,7,Rain,155
12/23/15,24,21,17,17,14,11,83,64,34,1021,1019,1017,26,12,8,27,19,,0.25,5,Rain,131
12/24/15,25,21,18,15,13,9,78,57,28,1021,1019,1018,31,12,10,29,19,,0,2,,115
12/25/15,26,22,17,19,14,11,88,60,28,1020,1016,1013,31,12,5,32,18,,0,3,Rain,52
12/26/15,27,23,19,22,19,17,100,76,46,1013,1008,1005,31,12,5,40,16,,0.51,5,Rain-Thunderstorm,7
12/27/15,24,20,16,21,14,11,94,70,48,1023,1016,1008,31,11,6,55,37,71,0,5,Rain,182
12/28/15,21,18,15,14,13,11,94,66,42,1025,1023,1021,26,12,10,39,29,,0.25,5,Rain,182
12/29/15,23,20,16,14,11,9,77,55,29,1024,1022,1020,31,13,10,26,18,,0,2,,160
12/30/15,24,19,14,15,13,8,82,61,28,1021,1019,1018,31,14,10,23,13,,0,1,,109
12/31/15,28,23,18,16,14,13,83,59,30,1020,1017,1015,31,14,10,35,13,,0,3,,22